decoder,display,lookahead,num_drafts,AATPS_mean,ANLPPT_U_mean,n_prompts,source
mpfr_torchgen_cached,MPFR (ours),4,2.0,2.5632461635890813,0.10429548394840342,1000,multi_draft
mpfr_torchgen_cached,MPFR (ours),4,4.0,2.918511807689946,0.10403658031616127,1000,multi_draft
mpfr_torchgen_cached,MPFR (ours),4,6.0,3.1113097391709976,0.10452815024192454,1000,multi_draft
mpfr_torchgen_cached,MPFR (ours),4,8.0,3.236618901002577,0.1045111715575186,1000,multi_draft
mc,VSpS,1,,1.5927714417553498,0.0022113917644412677,1000,single_draft
mc,VSpS,2,,1.947716414607288,0.002075831556775631,1000,single_draft
mc,VSpS,3,,2.1591672637716472,0.0016812381456008624,1000,single_draft
mc,VSpS,4,,2.2936722492928094,0.0020004249460319795,1000,single_draft
mc_uwm_speed,MSE,1,,1.594742356008963,0.04796392498196234,1000,single_draft
mc_uwm_speed,MSE,2,,1.9557449645408091,0.03567707389109082,1000,single_draft
mc_uwm_speed,MSE,3,,2.1636863251346847,0.030400978553058317,1000,single_draft
mc_uwm_speed,MSE,4,,2.2917610317073946,0.02864939161998019,1000,single_draft
mc_uwm_strength,MWS,1,,1.5649506982730967,0.1022011464319562,1000,single_draft
mc_uwm_strength,MWS,2,,1.8878565715323283,0.10160873990154555,1000,single_draft
mc_uwm_strength,MWS,3,,2.0711026528728236,0.10043555783581308,1000,single_draft
mc_uwm_strength,MWS,4,,2.18376930230089,0.10108462653851061,1000,single_draft
pfr,PFR (ours),1,,1.569747030753037,0.10357788426779149,1000,single_draft
pfr,PFR (ours),2,,1.8947609506433374,0.10350365827170906,1000,single_draft
pfr,PFR (ours),3,,2.084492308970762,0.10387146278424296,1000,single_draft
pfr,PFR (ours),4,,2.1957119351630245,0.10377207433470804,1000,single_draft
pfr_no_watermark,PFR no-wm,1,,1.5671087618985071,0.001817428990704195,1000,single_draft
pfr_no_watermark,PFR no-wm,2,,1.8899905989758643,0.002062193222848677,1000,single_draft
pfr_no_watermark,PFR no-wm,3,,2.074305694961824,0.001920195447132808,1000,single_draft
pfr_no_watermark,PFR no-wm,4,,2.187072823781358,0.0018409681351678646,1000,single_draft
