ERSD_WM race detector validation
Note: raw ratio/gap are included as sanity checks; only winner-conditioned variants are token-aware detectors.

regime	seq_len	metric	threshold	tpr	h0_mean	h1_mean
low	20	aaronson	31.986762	0.963750	20.028560	44.687344
low	20	ratio_raw	38.908267	0.010000	26.822940	26.822940
low	20	gap_raw	67.481045	0.010000	39.981048	39.981048
low	20	match	13.000000	1.000000	8.058750	20.000000
low	20	ratio_win	24.715419	0.645000	12.232099	26.822940
low	20	gap_win	45.647203	0.265000	20.323180	39.981048
low	20	joint_ratio	55.744442	0.945000	32.260658	71.510284
low	20	joint_gap	71.261821	0.900000	40.351740	84.668392
low	50	aaronson	68.728060	1.000000	50.177634	112.602291
low	50	ratio_raw	87.551310	0.010000	67.699834	67.699834
low	50	gap_raw	144.869673	0.010000	100.686943	100.686943
low	50	match	28.010000	1.000000	20.087500	50.000000
low	50	ratio_win	50.019629	0.992500	30.892554	67.699834
low	50	gap_win	96.627799	0.572500	51.276147	100.686943
low	50	joint_ratio	116.691996	1.000000	81.070188	180.302125
low	50	joint_gap	149.159364	1.000000	101.453781	213.289235
low	80	aaronson	101.850194	1.000000	80.240123	181.367310
low	80	ratio_raw	133.367999	0.010000	108.440120	108.440120
low	80	gap_raw	215.790460	0.010000	160.568437	160.568437
low	80	match	42.000000	1.000000	31.742500	80.000000
low	80	ratio_win	72.752980	1.000000	48.829314	108.440120
low	80	gap_win	125.718688	0.958750	80.544183	160.568437
low	80	joint_ratio	166.780457	1.000000	129.069437	289.807429
low	80	joint_gap	212.071693	1.000000	160.784306	341.935746
low	100	aaronson	125.563436	1.000000	100.180280	226.497596
low	100	ratio_raw	163.452792	0.010000	135.340680	135.340680
low	100	gap_raw	257.302065	0.010000	200.833380	200.833380
low	100	match	51.010000	1.000000	39.937500	100.000000
low	100	ratio_win	88.182306	1.000000	61.412545	135.340680
low	100	gap_win	154.485927	0.980000	101.877012	200.833380
low	100	joint_ratio	207.576517	1.000000	161.592825	361.838277
low	100	joint_gap	267.898781	1.000000	202.057292	427.330977
low	150	aaronson	181.614542	1.000000	150.415085	339.119336
low	150	ratio_raw	239.714109	0.010000	202.973724	202.973724
low	150	gap_raw	371.747601	0.010000	301.561805	301.561805
low	150	match	75.000000	1.000000	59.972500	150.000000
low	150	ratio_win	127.151295	1.000000	92.057511	202.973724
low	150	gap_win	219.200367	1.000000	152.932466	301.561805
low	150	joint_ratio	299.273373	1.000000	242.472596	542.093060
low	150	joint_gap	382.701246	1.000000	303.347551	640.681140
low	200	aaronson	235.329459	1.000000	199.671337	451.416982
low	200	ratio_raw	315.186676	0.010000	270.459013	270.459013
low	200	gap_raw	478.057613	0.010000	402.698688	402.698688
low	200	match	94.010000	1.000000	79.436250	200.000000
low	200	ratio_win	159.511029	1.000000	121.653242	270.459013
low	200	gap_win	277.330790	1.000000	202.561865	402.698688
low	200	joint_ratio	386.714643	1.000000	321.324578	721.875994
low	200	joint_gap	487.831661	1.000000	402.233202	854.115669
medium	20	aaronson	32.062319	1.000000	19.762346	55.645917
medium	20	ratio_raw	32.764584	0.010000	21.276261	21.276261
medium	20	gap_raw	35.841531	0.010000	23.075507	23.075507
medium	20	match	6.000000	1.000000	2.595000	20.000000
medium	20	ratio_win	9.175769	1.000000	2.686036	21.276261
medium	20	gap_win	11.867066	0.995000	3.091421	23.075507
medium	20	joint_ratio	40.381546	1.000000	22.448382	76.922179
medium	20	joint_gap	39.978292	1.000000	22.853767	78.721424
medium	50	aaronson	65.687013	1.000000	49.660485	139.613422
medium	50	ratio_raw	72.640879	0.010000	53.561098	53.561098
medium	50	gap_raw	78.718559	0.010000	57.678164	57.678164
medium	50	match	12.010000	1.000000	6.502500	50.000000
medium	50	ratio_win	16.379996	1.000000	6.918884	53.561098
medium	50	gap_win	19.435695	1.000000	7.651817	57.678164
medium	50	joint_ratio	79.598333	1.000000	56.579369	193.174520
medium	50	joint_gap	79.787606	1.000000	57.312301	197.291586
medium	80	aaronson	102.897805	1.000000	79.945638	224.333070
medium	80	ratio_raw	110.898116	0.010000	86.295383	86.295383
medium	80	gap_raw	118.930916	0.010000	92.503278	92.503278
medium	80	match	18.000000	1.000000	10.585000	80.000000
medium	80	ratio_win	25.014170	1.000000	11.445806	86.295383
medium	80	gap_win	27.040522	1.000000	12.483120	92.503278
medium	80	joint_ratio	125.857537	1.000000	91.391444	310.628453
medium	80	joint_gap	122.307530	1.000000	92.428758	316.836348
medium	100	aaronson	125.145898	1.000000	100.135445	280.113410
medium	100	ratio_raw	133.998972	0.010000	107.721324	107.721324
medium	100	gap_raw	144.955669	0.010000	115.724412	115.724412
medium	100	match	21.000000	1.000000	13.308750	100.000000
medium	100	ratio_win	27.852159	1.000000	14.596385	107.721324
medium	100	gap_win	30.511466	1.000000	15.897116	115.724412
medium	100	joint_ratio	148.288703	1.000000	114.731830	387.834733
medium	100	joint_gap	147.218458	1.000000	116.032560	395.837822
medium	150	aaronson	183.253785	1.000000	150.535153	419.616344
medium	150	ratio_raw	195.567420	0.010000	161.265840	161.265840
medium	150	gap_raw	208.154799	0.010000	173.386046	173.386046
medium	150	match	31.000000	1.000000	20.073750	150.000000
medium	150	ratio_win	38.716571	1.000000	21.974180	161.265840
medium	150	gap_win	43.008388	1.000000	23.818295	173.386046
medium	150	joint_ratio	217.784516	1.000000	172.509333	580.882183
medium	150	joint_gap	215.588975	1.000000	174.353448	593.002390
medium	200	aaronson	234.523153	1.000000	200.370320	558.968356
medium	200	ratio_raw	252.904645	0.010000	215.063314	215.063314
medium	200	gap_raw	271.526863	0.010000	231.824013	231.824013
medium	200	match	39.000000	1.000000	26.467500	200.000000
medium	200	ratio_win	49.853559	1.000000	29.363450	215.063314
medium	200	gap_win	54.995355	1.000000	32.142229	231.824013
medium	200	joint_ratio	278.555826	1.000000	229.733771	774.031671
medium	200	joint_gap	281.605272	1.000000	232.512549	790.792369
high	20	aaronson	32.864548	1.000000	20.328314	57.462761
high	20	ratio_raw	32.514326	0.010000	21.012704	21.012704
