method	gap_bin	accept_rate
ersd	[0.0, 1.0)	0.38960266476326433
ersd	[1.0, 2.0)	0.405959835888577
ersd	[2.0, 4.0)	0.42066805845511485
ersd	[4.0, 8.0)	0.48866498740554154
ersd	[8.0, +inf)	0.8371370445718513
ersd_cc	[0.0, 1.0)	0.3656707390831015
ersd_cc	[1.0, 2.0)	0.4466377440347072
ersd_cc	[2.0, 4.0)	0.4695519791213571
ersd_cc	[4.0, 8.0)	0.4825921219822109
ersd_cc	[8.0, +inf)	0.8490573054181696
ersd_wm	[0.0, 1.0)	0.37545126353790614
ersd_wm	[1.0, 2.0)	0.41630094043887145
ersd_wm	[2.0, 4.0)	0.4534292972057578
ersd_wm	[4.0, 8.0)	0.45160455486542445
ersd_wm	[8.0, +inf)	0.8438222354783387
