method	n	gap_bin	count	accept_rate
ersd	1	[0.0,1.0)	761	0.3745072273324573
ersd	1	[1.0,2.0)	408	0.39950980392156865
ersd	1	[2.0,4.0)	414	0.41304347826086957
ersd	1	[4.0,8.0)	316	0.4462025316455696
ersd	1	[8.0,+inf)	2186	0.8115279048490394
ersd	2	[0.0,1.0)	973	0.3669064748201439
ersd	2	[1.0,2.0)	539	0.4137291280148423
ersd	2	[2.0,4.0)	552	0.427536231884058
ersd	2	[4.0,8.0)	395	0.5265822784810127
ersd	2	[8.0,+inf)	2815	0.8095914742451155
ersd	3	[0.0,1.0)	1048	0.38740458015267176
ersd	3	[1.0,2.0)	570	0.4087719298245614
ersd	3	[2.0,4.0)	598	0.4080267558528428
ersd	3	[4.0,8.0)	436	0.47706422018348627
ersd	3	[8.0,+inf)	3107	0.8313485677502414
ersd	4	[0.0,1.0)	1098	0.3970856102003643
ersd	4	[1.0,2.0)	590	0.3983050847457627
ersd	4	[2.0,4.0)	610	0.4131147540983607
ersd	4	[4.0,8.0)	457	0.487964989059081
ersd	4	[8.0,+inf)	3296	0.8252427184466019
ersd	5	[0.0,1.0)	1101	0.39509536784741145
ersd	5	[1.0,2.0)	624	0.41346153846153844
ersd	5	[2.0,4.0)	652	0.4263803680981595
ersd	5	[4.0,8.0)	509	0.46954813359528486
ersd	5	[8.0,+inf)	3345	0.8295964125560538
ersd	6	[0.0,1.0)	1134	0.3950617283950617
ersd	6	[1.0,2.0)	631	0.4120443740095087
ersd	6	[2.0,4.0)	649	0.4221879815100154
ersd	6	[4.0,8.0)	488	0.4979508196721312
ersd	6	[8.0,+inf)	3438	0.829261198371146
ersd	7	[0.0,1.0)	1144	0.3924825174825175
ersd	7	[1.0,2.0)	624	0.3974358974358974
ersd	7	[2.0,4.0)	661	0.42511346444780634
ersd	7	[4.0,8.0)	488	0.5
ersd	7	[8.0,+inf)	3481	0.8307957483481758
ersd	8	[0.0,1.0)	1147	0.4001743679163034
ersd	8	[1.0,2.0)	645	0.40310077519379844
ersd	8	[2.0,4.0)	654	0.42660550458715596
ersd	8	[4.0,8.0)	484	0.49586776859504134
ersd	8	[8.0,+inf)	3515	0.829302987197724
ersd_nocc	1	[0.0,1.0)	782	0.1969309462915601
ersd_nocc	1	[1.0,2.0)	449	0.22939866369710468
ersd_nocc	1	[2.0,4.0)	459	0.3006535947712418
ersd_nocc	1	[4.0,8.0)	363	0.3884297520661157
ersd_nocc	1	[8.0,+inf)	2269	0.7796386073159982
ersd_nocc	2	[0.0,1.0)	957	0.2089864158829676
ersd_nocc	2	[1.0,2.0)	554	0.2545126353790614
ersd_nocc	2	[2.0,4.0)	572	0.3321678321678322
ersd_nocc	2	[4.0,8.0)	442	0.3936651583710407
ersd_nocc	2	[8.0,+inf)	2905	0.791394148020654
ersd_nocc	3	[0.0,1.0)	1036	0.20270270270270271
ersd_nocc	3	[1.0,2.0)	583	0.24871355060034306
ersd_nocc	3	[2.0,4.0)	613	0.3295269168026101
ersd_nocc	3	[4.0,8.0)	491	0.395112016293279
ersd_nocc	3	[8.0,+inf)	3197	0.7963715983734752
ersd_nocc	4	[0.0,1.0)	1057	0.20908230842005676
ersd_nocc	4	[1.0,2.0)	602	0.2574750830564784
ersd_nocc	4	[2.0,4.0)	633	0.33175355450236965
ersd_nocc	4	[4.0,8.0)	509	0.3948919449901768
ersd_nocc	4	[8.0,+inf)	3352	0.801909307875895
ersd_nocc	5	[0.0,1.0)	1075	0.20837209302325582
ersd_nocc	5	[1.0,2.0)	616	0.25487012987012986
ersd_nocc	5	[2.0,4.0)	639	0.3333333333333333
ersd_nocc	5	[4.0,8.0)	512	0.396484375
ersd_nocc	5	[8.0,+inf)	3468	0.8036332179930796
ersd_nocc	6	[0.0,1.0)	1086	0.20626151012891344
ersd_nocc	6	[1.0,2.0)	620	0.26129032258064516
ersd_nocc	6	[2.0,4.0)	656	0.3307926829268293
ersd_nocc	6	[4.0,8.0)	527	0.3927893738140417
ersd_nocc	6	[8.0,+inf)	3520	0.805965909090909
ersd_nocc	7	[0.0,1.0)	1100	0.20636363636363636
ersd_nocc	7	[1.0,2.0)	624	0.25961538461538464
ersd_nocc	7	[2.0,4.0)	668	0.3323353293413174
ersd_nocc	7	[4.0,8.0)	528	0.39204545454545453
ersd_nocc	7	[8.0,+inf)	3548	0.8035512965050733
ersd_nocc	8	[0.0,1.0)	1096	0.20985401459854014
ersd_nocc	8	[1.0,2.0)	628	0.2611464968152866
ersd_nocc	8	[2.0,4.0)	666	0.3303303303303303
ersd_nocc	8	[4.0,8.0)	530	0.3905660377358491
ersd_nocc	8	[8.0,+inf)	3572	0.805431131019037
ersd_nocc_wm	1	[0.0,1.0)	750	0.20266666666666666
ersd_nocc_wm	1	[1.0,2.0)	459	0.20915032679738563
ersd_nocc_wm	1	[2.0,4.0)	438	0.2534246575342466
ersd_nocc_wm	1	[4.0,8.0)	399	0.37092731829573933
ersd_nocc_wm	1	[8.0,+inf)	2262	0.78868258178603
ersd_nocc_wm	2	[0.0,1.0)	953	0.20671563483735572
ersd_nocc_wm	2	[1.0,2.0)	574	0.2456445993031359
ersd_nocc_wm	2	[2.0,4.0)	593	0.2563237774030354
ersd_nocc_wm	2	[4.0,8.0)	437	0.36613272311212813
ersd_nocc_wm	2	[8.0,+inf)	2898	0.8008971704623878
ersd_nocc_wm	3	[0.0,1.0)	1022	0.19960861056751467
ersd_nocc_wm	3	[1.0,2.0)	581	0.24096385542168675
ersd_nocc_wm	3	[2.0,4.0)	592	0.2939189189189189
ersd_nocc_wm	3	[4.0,8.0)	506	0.3675889328063241
ersd_nocc_wm	3	[8.0,+inf)	3228	0.79182156133829
ersd_nocc_wm	4	[0.0,1.0)	1046	0.19980879541108987
ersd_nocc_wm	4	[1.0,2.0)	583	0.21269296740994853
ersd_nocc_wm	4	[2.0,4.0)	596	0.3053691275167785
ersd_nocc_wm	4	[4.0,8.0)	487	0.3737166324435318
ersd_nocc_wm	4	[8.0,+inf)	3412	0.8115474794841735
ersd_nocc_wm	5	[0.0,1.0)	1066	0.19887429643527205
ersd_nocc_wm	5	[1.0,2.0)	603	0.22056384742951907
ersd_nocc_wm	5	[2.0,4.0)	637	0.29984301412872844
ersd_nocc_wm	5	[4.0,8.0)	515	0.3611650485436893
ersd_nocc_wm	5	[8.0,+inf)	3486	0.8029259896729777
ersd_nocc_wm	6	[0.0,1.0)	1067	0.21274601686972822
ersd_nocc_wm	6	[1.0,2.0)	628	0.21178343949044587
ersd_nocc_wm	6	[2.0,4.0)	667	0.3118440779610195
ersd_nocc_wm	6	[4.0,8.0)	531	0.384180790960452
ersd_nocc_wm	6	[8.0,+inf)	3502	0.8046830382638492
ersd_nocc_wm	7	[0.0,1.0)	1093	0.21774931381518756
ersd_nocc_wm	7	[1.0,2.0)	635	0.2251968503937008
ersd_nocc_wm	7	[2.0,4.0)	677	0.32791728212703103
ersd_nocc_wm	7	[4.0,8.0)	522	0.3850574712643678
ersd_nocc_wm	7	[8.0,+inf)	3529	0.8024936242561632
ersd_nocc_wm	8	[0.0,1.0)	1102	0.21143375680580762
ersd_nocc_wm	8	[1.0,2.0)	629	0.2273449920508744
ersd_nocc_wm	8	[2.0,4.0)	660	0.3242424242424242
ersd_nocc_wm	8	[4.0,8.0)	534	0.37453183520599254
ersd_nocc_wm	8	[8.0,+inf)	3557	0.8088276637615969
ersd_wm	1	[0.0,1.0)	728	0.364010989010989
ersd_wm	1	[1.0,2.0)	422	0.41232227488151657
ersd_wm	1	[2.0,4.0)	460	0.40869565217391307
ersd_wm	1	[4.0,8.0)	354	0.4548022598870056
ersd_wm	1	[8.0,+inf)	2132	0.8128517823639775
ersd_wm	2	[0.0,1.0)	936	0.35683760683760685
ersd_wm	2	[1.0,2.0)	544	0.4007352941176471
ersd_wm	2	[2.0,4.0)	550	0.49454545454545457
ersd_wm	2	[4.0,8.0)	470	0.44893617021276594
ersd_wm	2	[8.0,+inf)	2768	0.826228323699422
ersd_wm	3	[0.0,1.0)	1034	0.37620889748549324
ersd_wm	3	[1.0,2.0)	597	0.4321608040201005
ersd_wm	3	[2.0,4.0)	577	0.43674176776429807
ersd_wm	3	[4.0,8.0)	477	0.4192872117400419
ersd_wm	3	[8.0,+inf)	3093	0.8338182993857096
ersd_wm	4	[0.0,1.0)	1102	0.38656987295825773
ersd_wm	4	[1.0,2.0)	621	0.42673107890499196
ersd_wm	4	[2.0,4.0)	623	0.4462279293739968
ersd_wm	4	[4.0,8.0)	474	0.4641350210970464
ersd_wm	4	[8.0,+inf)	3224	0.84212158808933
ersd_wm	5	[0.0,1.0)	1115	0.3632286995515695
ersd_wm	5	[1.0,2.0)	616	0.4107142857142857
ersd_wm	5	[2.0,4.0)	627	0.46570972886762363
ersd_wm	5	[4.0,8.0)	518	0.45366795366795365
ersd_wm	5	[8.0,+inf)	3371	0.8338771877781074
ersd_wm	6	[0.0,1.0)	1110	0.3801801801801802
ersd_wm	6	[1.0,2.0)	644	0.40993788819875776
ersd_wm	6	[2.0,4.0)	635	0.44724409448818897
ersd_wm	6	[4.0,8.0)	520	0.4576923076923077
ersd_wm	6	[8.0,+inf)	3424	0.8329439252336449
ersd_wm	7	[0.0,1.0)	1137	0.38786279683377306
ersd_wm	7	[1.0,2.0)	658	0.4209726443768997
ersd_wm	7	[2.0,4.0)	622	0.4517684887459807
ersd_wm	7	[4.0,8.0)	530	0.4547169811320755
ersd_wm	7	[8.0,+inf)	3462	0.8376660889659157
ersd_wm	8	[0.0,1.0)	1148	0.38153310104529614
ersd_wm	8	[1.0,2.0)	683	0.4143484626647145
ersd_wm	8	[2.0,4.0)	630	0.46825396825396826
ersd_wm	8	[4.0,8.0)	521	0.45873320537428025
ersd_wm	8	[8.0,+inf)	3474	0.8333333333333334
