prefix 5_9a75164b9f1843d58ae932cba804bd11
 n          method    reweight          score_type       AATPS        ANLPPT
 1           basic        none                none     1.0±0.0      -0.0±0.0
 1       basic_uwm deltagumbel       DeltaGumbel_C     1.0±0.0 0.0167±0.0017
 1       basic_uwm deltagumbel       DeltaGumbel_U     1.0±0.0 0.0218±0.0020
 1       basic_uwm deltagumbel                 LLR     1.0±0.0      -5.4±5.7
 1       basic_uwm deltagumbel           RobustLLR     1.0±0.0   0.307±0.015
 1            ersd        none                none 1.610±0.006      -0.0±0.0
 1         ersd_wm        ersd ERSD_Aaronson_Gamma 1.611±0.006   0.157±0.009
 1         ersd_wm        ersd     ERSD_Aaronson_U 1.611±0.006   0.090±0.005
 1              mc        none                none 1.625±0.006      -0.0±0.0
 1    mc_uwm_speed deltagumbel       DeltaGumbel_C 1.608±0.006   0.026±0.002
 1    mc_uwm_speed deltagumbel       DeltaGumbel_U 1.608±0.006   0.042±0.003
 1    mc_uwm_speed deltagumbel                 LLR 1.608±0.006      -inf±inf
 1    mc_uwm_speed deltagumbel           RobustLLR 1.608±0.006   0.177±0.011
 1 mc_uwm_strength deltagumbel       DeltaGumbel_C 1.594±0.006   0.071±0.006
 1 mc_uwm_strength deltagumbel       DeltaGumbel_U 1.594±0.006   0.102±0.008
 1 mc_uwm_strength deltagumbel                 LLR 1.594±0.006     0.72±0.03
 1 mc_uwm_strength deltagumbel           RobustLLR 1.594±0.006     0.71±0.03
 2            ersd        none                none 1.997±0.012      -0.0±0.0
 2         ersd_wm        ersd ERSD_Aaronson_Gamma 1.989±0.012   0.145±0.008
 2         ersd_wm        ersd     ERSD_Aaronson_U 1.989±0.012   0.089±0.006
 2              mc        none                none 2.031±0.012      -0.0±0.0
 2    mc_uwm_speed deltagumbel       DeltaGumbel_C 2.017±0.012 0.0205±0.0018
 2    mc_uwm_speed deltagumbel       DeltaGumbel_U 2.017±0.012   0.032±0.003
 2    mc_uwm_speed deltagumbel                 LLR 2.017±0.012      -inf±inf
 2    mc_uwm_speed deltagumbel           RobustLLR 2.017±0.012   0.111±0.008
 2 mc_uwm_strength deltagumbel       DeltaGumbel_C 1.967±0.012   0.070±0.006
 2 mc_uwm_strength deltagumbel       DeltaGumbel_U 1.967±0.012   0.101±0.008
 2 mc_uwm_strength deltagumbel                 LLR 1.967±0.012      -5.0±5.7
 2 mc_uwm_strength deltagumbel           RobustLLR 1.967±0.012     0.70±0.03
 3            ersd        none                none 2.174±0.017      -0.0±0.0
 3         ersd_wm        ersd ERSD_Aaronson_Gamma 2.211±0.017   0.142±0.008
 3         ersd_wm        ersd     ERSD_Aaronson_U 2.211±0.017   0.081±0.005
 3              mc        none                none 2.318±0.018      -0.0±0.0
 3    mc_uwm_speed deltagumbel       DeltaGumbel_C 2.307±0.018 0.0179±0.0018
 3    mc_uwm_speed deltagumbel       DeltaGumbel_U 2.307±0.018   0.027±0.002
 3    mc_uwm_speed deltagumbel                 LLR 2.307±0.018      -inf±inf
 3    mc_uwm_speed deltagumbel           RobustLLR 2.307±0.018   0.066±0.006
 3 mc_uwm_strength deltagumbel       DeltaGumbel_C 2.178±0.017   0.070±0.006
 3 mc_uwm_strength deltagumbel       DeltaGumbel_U 2.178±0.017   0.101±0.008
 3 mc_uwm_strength deltagumbel                 LLR 2.178±0.017      -5.0±5.7
 3 mc_uwm_strength deltagumbel           RobustLLR 2.178±0.017     0.70±0.03
 4            ersd        none                none   2.34±0.02      -0.0±0.0
 4         ersd_wm        ersd ERSD_Aaronson_Gamma   2.37±0.02   0.144±0.008
 4         ersd_wm        ersd     ERSD_Aaronson_U   2.37±0.02   0.084±0.006
 4              mc        none                none   2.46±0.02      -0.0±0.0
 4    mc_uwm_speed deltagumbel       DeltaGumbel_C   2.43±0.02   0.017±0.002
 4    mc_uwm_speed deltagumbel       DeltaGumbel_U   2.43±0.02   0.025±0.002
 4    mc_uwm_speed deltagumbel                 LLR   2.43±0.02      -inf±inf
 4    mc_uwm_speed deltagumbel           RobustLLR   2.43±0.02   0.068±0.007
 4 mc_uwm_strength deltagumbel       DeltaGumbel_C   2.32±0.02   0.069±0.006
 4 mc_uwm_strength deltagumbel       DeltaGumbel_U   2.32±0.02   0.098±0.008
 4 mc_uwm_strength deltagumbel                 LLR   2.32±0.02     0.71±0.03
 4 mc_uwm_strength deltagumbel           RobustLLR   2.32±0.02     0.69±0.03
