prefix 5_ed66788bfdef49bab0eed3cdedf99bf3
 n          method    reweight          score_type     AATPS        ANLPPT
 1           basic        none                none   1.0±0.0      -0.0±0.0
 1       basic_uwm deltagumbel       DeltaGumbel_C   1.0±0.0   0.015±0.002
 1       basic_uwm deltagumbel       DeltaGumbel_U   1.0±0.0 0.0183±0.0019
 1       basic_uwm deltagumbel                 LLR   1.0±0.0        -10±10
 1       basic_uwm deltagumbel           RobustLLR   1.0±0.0   0.309±0.017
 4            ersd        none                none 2.37±0.03      -0.0±0.0
 4         ersd_wm        ersd ERSD_Aaronson_Gamma 2.35±0.03   0.150±0.011
 4         ersd_wm        ersd     ERSD_Aaronson_U 2.35±0.03   0.086±0.007
 4              mc        none                none 2.50±0.03      -0.0±0.0
 4    mc_uwm_speed deltagumbel       DeltaGumbel_C 2.41±0.03   0.016±0.003
 4    mc_uwm_speed deltagumbel       DeltaGumbel_U 2.41±0.03   0.024±0.003
 4    mc_uwm_speed deltagumbel                 LLR 2.41±0.03      -inf±inf
 4    mc_uwm_speed deltagumbel           RobustLLR 2.41±0.03   0.062±0.009
 4 mc_uwm_strength deltagumbel       DeltaGumbel_C 2.32±0.03   0.068±0.007
 4 mc_uwm_strength deltagumbel       DeltaGumbel_U 2.32±0.03   0.099±0.009
 4 mc_uwm_strength deltagumbel                 LLR 2.32±0.03     0.69±0.03
 4 mc_uwm_strength deltagumbel           RobustLLR 2.32±0.03     0.68±0.03
